patient,Q9Y4B5_N,Q9Y4B5_C,Q9Y4B5.3_N,Q9Y4B5.3_C
9,0.743383013108278,0.987557610582391,0,0
10,0.525200514754295,0.834852157778177,0,0
11,0.715459837193991,1.31143383013108,0,0
12,0.756045370204106,1.19303286047764,0,0
17,1.19883776778378,1.60198706778497,0,0
18,0.889000472355306,0.537056075322809,0,0
19,0.616697561614582,0.877203497810891,0,0
20,0.684486502149415,1.93523175180309,0,0
37,0,0,0.211660024581921,2.31668218555626
38,0,0,0.208831613840366,0.858549666654252
39,0,0,0.273648180565384,0.264774107043093
40,0,0,0.348454691049946,1.30157547767142
65,0.878584770904296,1.15093172504446,0,0
66,0.879378334493157,1.33984869387572,0,0
67,1.01785314597094,1.11366272326606,0,0
68,0.900617351776565,0.916183406788835,0,0
69,0.862293311134565,0.873888203435854,0,0
70,0.992587197058663,1.37048158443708,0,0
71,0.927908509362628,1.31018814447038,0,0
72,0.898797401554905,1.04964001327962,0,0
73,0,0,0.41955902478309,0.613050232758081
74,0,0,0.531367246271926,3.92508209789715
75,0,0,0.373815464060574,2.70012977861455
76,0,0,0.178085098857567,2.97777983343717
77,1.22387759636852,0.870485784121811,0,0
78,1.09298782100797,1.58464452368608,0,0
79,1.0063169923921,1.24505063117018,0,0
80,0.796337837408869,1.1721988847387,0,0
93,1.82840670435279,1.21997364669482,0,0
94,1.27386300778457,1.5059654708742,0,0
95,0.681795082815037,1.12440918678017,0,0
96,1.60283410459474,1.4807499449099,0,0
