patient,Q96HH9.2_N,Q96HH9.2_C,Q96HH9.3_N,Q96HH9.3_C
69,1.00452044457144,0.693751968994293,0,0
70,1.09805774739726,0.585634217640724,0,0
71,1.03251496435662,1.00726055197779,0,0
72,0.291598713468287,0.944589753170539,0,0
73,1.6725040058647,1.28524368155288,0,0
74,1.23788214270392,0.712176522928096,0,0
75,0.872552878346692,1.04692877488626,0,0
76,1.20728461132387,0.865425330495496,0,0
89,0,0,0.431776866116114,0.770820184367027
90,0,0,0.624672201825891,1.67027059461478
91,0,0,0.718760278417324,0.891863271492448
92,0,0,1.61494492990675,0.872352057461353
97,0.986714389194256,0.614989986791086,0,0
98,1.24281108412516,0.744488474157399,0,0
99,1.35528853665119,1.78714332381723,0,0
100,0.651455110997486,0.809178064681069,0,0
