patient,Q92543_N,Q92543_C,Q92543.2_N,Q92543.2_C
1,0.923351140353938,0.8890676659942,0,0
2,0.778529371322556,0.732677148386594,0,0
3,0.915168667305612,0.921616956826013,0,0
4,0.879986290714833,1.02280092188786,0,0
33,0.625833293934093,1.15345796764617,0,0
34,0.956169796625268,1.79129766167582,0,0
35,0.853113825649652,1.3848492916846,0,0
36,0.421809096994294,0.835038283619786,0,0
53,1.01317345315389,1.01490411489014,0,0
54,1.20399772111622,1.10434492840865,0,0
55,1.12951476974674,1.10906393773918,0,0
56,1.24485638732425,3.81424947327686,0,0
57,0.833214202349768,1.92325129029748,0,0
58,0.912874964338512,1.71772700158207,0,0
59,1.1801955546334,1.91084368597142,0,0
60,0.930531939725601,0.989554166558602,0,0
61,1.38425241788368,1.51932438538025,0,0
62,1.02023990297891,2.35842768769809,0,0
63,1.33057149360157,1.97306102205056,0,0
64,1.08314394518445,1.1123351983395,0,0
65,0.747965126951459,0.499849908541392,0,0
66,1.64636076803635,1.20155879158019,0,0
67,1.99325776210396,1.44155611368942,0,0
68,1.08671399046757,2.84947014475727,0,0
77,1.22183170809017,1.11339100926668,0,0
78,0.845912031771484,1.00846493763168,0,0
79,1.11913374228553,2.43049055618742,0,0
80,0.923912516547648,1.37329629146235,0,0
81,1.4917439754472,1.75778399401574,0,0
82,1.66886185921103,1.41782339202948,0,0
83,1.3080308930457,1.44389390918253,0,0
84,1.52025582251171,2.38196109746799,0,0
97,0,0,0.64941722194845,0.764556060248966
98,0,0,1.04923885329848,0.549246887922353
99,0,0,1.41600336382919,0.617297473914254
100,0,0,1.22856362350824,0.54322895464187
