patient,Q9H7D7_N,Q9H7D7_C,Q9H7D7.2_N,Q9H7D7.2_C
13,0,0,0.588443609350559,1.42895002523978
14,0,0,0.738701304366793,1.41052810340207
15,0,0,0.874522469634366,1.34105950978742
16,0,0,0.563426627030867,1.29686808632627
17,0,0,1.00126813432079,1.24937438706841
18,0,0,0.763060938081228,0.878183017145176
19,0,0,0.738573264346826,0.98468093740489
20,0,0,0.854071556592608,1.46769639173515
22,0.527256365656859,1.1501651809441,0,0
23,1.166930895782,1.00321151616176,0,0
24,1.5208272938107,1.1868990674977,0,0
25,1.46015769823242,1.28826923579019,0,0
26,1.82854755750503,1.68245215529621,0,0
27,1.54033315057048,2.2677919636563,0,0
28,1.13414793347432,1.49519855878437,0,0
45,1.16773592571672,1.52861035962383,0.512125253000353,0.865857899490372
46,0.780337128757024,1.31209283427971,0.343366199403057,1.85814217056164
47,1.35427654071409,1.42803064086175,0.468855625301787,1.06842080244582
48,1.02327793798496,1.34508428218926,0.393727342551845,0.880533796343785
57,0,0,0.889631759962049,1.47047458096142
58,0,0,0.986613496204934,0.995789848197344
59,0,0,0.773506680898166,0.991599462365591
60,0,0,0.93961495888678,1.05830467267552
61,0,0,3.06093644474272,4.36706325696818
62,0,0,1.89248714681894,4.88146970831148
63,0,0,2.6482868291191,3.32697449571043
64,0,0,2.51330686366831,2.92561471781106
65,0,0,1.00853664807999,1.56822339276662
66,0,0,0.960123127557505,1.49559576546992
67,0,0,0.772573997751967,1.44187071606462
68,0,0,0.761554228285544,1.09752495977784
81,0,0,0.911000830869926,1.25032358709721
82,0,0,1.09430844680077,1.31224883141254
83,0,0,0.995059997852173,2.0697893057055
84,0,0,1.0840685872762,1.43943598816057
