patient,Q9BTE1_N,Q9BTE1_C,Q9BTE1.3_N,Q9BTE1.3_C
1,2.4606677041069,3.18315642686061,0,0
2,2.55792085393721,1.98624586259818,0,0
3,2.66413153412367,2.15912751662939,0,0
4,1.96520932053171,2.43970667874693,0,0
9,0.764742756961095,1.61966374665145,0,0
10,0.765845635136263,1.1237698807339,0,0
11,0.71503121892205,1.20968306532759,0,0
12,0.858506442243896,1.12885366578837,0,0
17,1.08198185482471,1.25525647818854,0,0
18,0.75769874196228,0.932685610889882,0,0
19,0.74143240910637,1.00764263121239,0,0
20,0.999865796969325,1.40072793574914,0,0
25,1.60621311381477,1.23388467635655,0,0
26,0.852925110300437,0.709323490650725,0,0
27,0.89901063850106,1.56435624653819,0,0
28,0.868453119926657,0.870758446817045,0,0
45,1.16994702070383,1.23416504514433,0,0
46,0.702099082189658,0.326200357021909,0,0
47,1.11016020066698,2.27300122259914,0,0
48,0.548288648195662,0.9524736108002,0,0
49,0.696080098692646,2.01694727663905,0,0
50,1.56706159922039,1.11927610995484,0,0
51,2.12231841335914,1.8936300591454,0,0
52,1.0124958495639,1.41676047327119,0,0
53,1.48227499468073,1.58505520225064,0,0
55,1.13225933237192,0.907152060332396,0,0
56,1.06078896664224,1.36977381261968,0,0
61,0.631699220729457,0.646022638135526,1.09725518880863,0.547543201974947
62,0.720720433048401,1.64136895051847,1.86486605101948,0.415463106884886
63,0.802808317217117,1.54633765058192,1.40929322483314,0.477988479473347
64,0.774807056611999,0.979283315446994,1.69730273383926,0.374815763006309
77,0.853326139075389,0.626985142373994,0,0
78,1.13893447106443,1.01118076685598,0,0
79,1.06991594955861,1.18772377757876,0,0
80,0.948034465687283,0.899374952486376,0,0
85,0.639909500860052,1.16583760776474,0,0
86,0.925746282148631,1.61299478803469,0,0
87,0.353863517792482,1.13024489521832,0,0
88,0.842437484826414,2.15126579989979,0,0
