patient,Q9Y692_N,Q9Y692_C,Q9Y692.2_N,Q9Y692.2_C
45,0,0,0.864732412916466,0.964963665740124
46,0,0,0.728189872351504,1.41109018094385
47,0,0,0.776305008691124,1.79761166371858
48,0,0,0.76983069536652,0.877635095296073
57,0.785532699421702,0.992085306805388,0,0
58,0.829076715150264,1.02075536468323,0,0
59,0.975898234857778,1.28094400180523,0,0
60,1.10835471844865,1.46126793529012,0,0
61,0,0,0.782158297209664,1.29739706207073
62,0,0,0.752752855997304,1.57961637244762
63,0,0,0.885857438376701,1.22723482515369
64,0,0,0.85606412774414,1.22050158634235
77,1.50866984515189,1.83854073636434,1.10245863590311,1.04439753127283
78,0.992654905355335,1.53497020742593,0.958613702323816,1.07249968717077
79,1.31298003599841,1.862012979578,0.88788200485188,1.06290087551819
80,1.36141300614171,0.977705948896919,1.02520798097998,1.12177331788697
89,0,0,0.472450373704091,1.66905087197621
90,0,0,0.930402636020252,1.37439167046175
91,0,0,0.916936787305669,0.819915704501415
92,0,0,0.89513068481163,0.989177315224088
93,0.845750670592329,0.852243351128503,0,0
94,1.07626234095645,1.13748732702085,0,0
95,1.56220515448876,1.02323223631786,0,0
96,1.05945918646021,1.05248203336314,0,0
