patient,Q9H329_N,Q9H329_C,Q9H329.2_N,Q9H329.2_C
13,0.684063531806518,0.961575584979047,0,0
14,0.507795738743603,0.892192793421285,0,0
15,1.25583067741458,0.656739025520711,0,0
16,1.05800335434177,1.85109971760456,0,0
77,0,0,0.914876510759965,1.40322691906061
78,0,0,0.894484075917993,1.16419799191724
79,0,0,0.885820918599147,1.20130066293848
80,0,0,0.834248729189512,1.2663385672251
93,0,0,0.841640374090654,0.892097387937096
94,0,0,0.829055269173559,0.813150763338551
95,0,0,0.644143969077811,2.01688495687782
96,0,0,0.7739327216261,1.00104758102412
