patient,Q9NVV9_N,Q9NVV9_C,Q9NVV9.2_N,Q9NVV9.2_C
33,0.758447403307942,1.25764777366272,0,0
34,0.848364967804385,1.49500494507807,0,0
35,0.911951306763183,1.13906848407054,0,0
36,0.537163050797525,1.17298961533605,0,0
45,0.713347301286106,1.43031177524773,0,0
46,0.622271637149483,0.994274457094666,0,0
47,0.931972116803711,1.80952851570736,0,0
48,0.490024114484503,0.941136938646426,0,0
53,2.37705262546555,2.05093179985845,0,0
54,2.30770436808778,2.34928730630135,0,0
55,1.67460939505015,3.19888541779088,0,0
56,1.51794172673702,2.26677135367642,0,0
85,0.907915668017053,1.00651685154941,0,0
86,1.07057182853628,1.21117462404819,0,0
87,0.283259274184996,1.12263770759539,0,0
88,0.596082465480306,1.24980380512016,0,0
97,0,0,0.512026277958781,0.539978781772413
98,0,0,0.49919490009228,1.47379423341306
99,0,0,0.395244417660094,3.4515088168641
100,0,0,0.398678255083272,1.75679705204743
