patient,Q03405.2_N,Q03405.2_C,Q03405.3_N,Q03405.3_C
9,0.590074076977346,1.17815317080818,0,0
10,0.519342321862507,0.814648820255546,0,0
11,0.64199851062162,1.89500470330015,0,0
12,0.757787881163283,1.27484714274516,0,0
13,2.55169421260572,11.5870181656886,0,0
14,2.74514187047223,5.9032958028608,0,0
15,2.97727571505623,4.15750691339923,0,0
16,1.85830040825085,2.69909425622332,0,0
33,1.26384330287477,3.29922980193284,0,0
34,1.40276149026174,2.12735538878254,0,0
35,1.25447166976276,2.01529597390979,0,0
36,0.76646037790985,2.24872598548439,0,0
53,0.73315080957681,0.976846021984093,0.599116798846431,1.07038098129245
54,0.570940538959615,1.27241264450926,0.550566349182256,1.46784047357037
55,0.646957079836541,2.49582009765292,0.485272075285546,1.48687056502106
56,0.736583285265133,0.876739594927248,0.53144234053049,0.625712442606155
57,0.929108878303879,1.5762760676181,0,0
58,1.12564111941049,1.11813510820176,0,0
59,0.948020186690315,1.54589089313305,0,0
60,1.18880680935097,1.77044496658408,0,0
61,0.58659133583691,1.04665370171674,0,0
62,0.564702923819743,0.955666577253219,0,0
63,0.730696754291845,1.51598377145923,0,0
64,0.66787821888412,2.10768508583691,0,0
65,0.881304170032814,1.23783449527742,0,0
66,0.822931689656204,2.39289668172706,0,0
67,1.30475848518397,1.26356681926533,0,0
68,0.754381975404686,0.916560446026949,0,0
69,1.78603513689086,2.0133767123637,0,0
70,1.89470986566954,2.63862935501817,0,0
71,1.68422715637863,2.80620726548188,0,0
72,1.34361119125614,2.1168325932865,0,0
73,1.67875029806313,2.65542168834187,0,0
74,1.89092633337955,3.37311406279741,0,0
75,1.04284445405454,2.19296690669335,0,0
76,1.2469406974866,2.71680662527934,0,0
81,1.05322781587977,1.73326490151198,0,0
82,1.14580116968746,1.94491790250949,0,0
83,0.928630853093712,2.5862096083244,0,0
84,1.13931946209277,1.29359734771505,0,0
85,0.767224846576227,2.49779453326873,0,0
86,0.621421794250646,1.12564094799742,0,0
87,0.766392118863049,0.751731064276486,0,0
88,0.563272165697674,2.12702882751938,0,0
